B: 	er het zijn zeggen maar er zitten het lijken alsof er zeggen maar een tafel door het kop heen zijn maken zeggen maar 
B: 	en er zitten Linksboven zitten er ook nog een klein dinge 
A: 	ja klein 
A: 	ja 
B: 	ja 
A: 	uitsteeksel en dan bovenop de tafel daar zitten een soort van trapezium omgekeerd 
B: 	ja ja inderdaad die 
A: 	ja 
A: 	dat zijn zes 
A: 	even kijken 
A: 	dit zijn de kopvorm waar er als het zijn die tafel er half in zitten 
B: 	okee ja met de gek trapeze op zijn kop erbovenop 
A: 	ja 
B: 	ja 
A: 	ja en de aan de linkerkant het 
B: 	gek dinge ja 
A: 	yes 
B: 	i 
B: 	dit zijn degeen met de tafel dwars erdoorheen 
B: 	met een soort van trapezevorm erbovenop 
A: 	ja even zoeken waar die staan 
B: 	ja 
A: 	dat zijn vier 
A: 	dit zijn die met de tafel erin met het gek trapezium 
B: 	ja 
B: 	ja a 
B: 	degeen met de tafel erdoorheen 
A: 	ja en trapezium 
A: 	drie 
A: 	dit zijn die met de tafel erin 
B: 	de tafel 
A: 	met de trapezium 
B: 	ja 
B: 	e 
