B: 	het zijn er zeggen maar één en die hebben twee soort van kralensnoert rechts en link 
B: 	echt de veel typisch die er zijn eigenlijk en dan rond schijf aan de voorkant 
A: 	en hij staan 
A: 	en hij staan op een vierkant ding ja ok vijf 
B: 	precies ja 
A: 	deze hebben weer die kralenketting aan de zijkant en een vierkant 
B: 	dat 
B: 	dienblad 
A: 	dienbladen ja en een rond schijf 
B: 	ja J 
B: 	het zijn zegmaar met die kralensnoer op dat dienblad 
A: 	elf 
A: 	met het vierkant schijf en die kralenketting ding en dat rond schijf 
B: 	B 
B: 	met die kralendingen op dat dienblad 
A: 	negen 
A: 	met die kralenketting en dan met dat dienblad er onder en 
B: 	L 
