A: 	jij 
B: 	yes 
B: 	okee je hebben een rond schijf aan de achterkant 
A: 	ah zo hebben ik hem ook beschrijven 
B: 	dat zijn er volgens mij maar één 
A: 	ja dat zijn acht nummer acht 
A: 	ik moeten 
A: 	hebben we niet deze al hebben een soort cirkele plaat aan de achterkant van het beker 
B: 	ja 
A: 	links zijn een soort balk die uitsteken en ook het weer rechtsbovenaan een soort steel van de appel 
B: 	okee en aan de onderkant hebben hij een soort van plateau waardoor die vlak kunnen staan 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	juist 
B: 	dat zijn m 
B: 	ja 
B: 	deze hebben aan de achterkant als enig van de beker een cirkelvormig plateau 
B: 	zitten er echt tegenaan plakken 
A: 	ja dat zijn nummer negen 
A: 	dit zijn de rond cirkel schijf weer aan de achterkant 
B: 	ja en een knuppeltje aan de bovenkant 
A: 	ook een 
A: 	ja 
A: 	ja 
B: 	yes dat zijn j 
B: 	rond schijf aan de achterkant knuppeltje aan de bovenkant 
A: 	ja dertien 
B: 	wow 
A: 	dit zijn die cirkel plaat aan de achterkant 
B: 	aan de achterkant dat zijn er maar één 
A: 	ja 
B: 	dat zijn f 
