B: 	ja 
B: 	er zitten een soort plaat niet onderaan maar iets hoog 
B: 	weten je dan welk ik bedoelen ? met twee uitsteekseltjes boven 
A: 	want die hebben die twee twee uitsteeksel boven ja 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zes 
A: 	deze hebben ook een plaat maar wat veel naar het midden 
A: 	en dan die twee dinget bovenop 
B: 	dat zijn bij mij C 
B: 	deze hebben weer dat plaat en dan iets veel richting het midden 
B: 	met die twee dinget Erboven 
A: 	ja wachten ik zoeken die ja ja ja ja precies 
A: 	dat zijn bij mij dertien 
A: 	dit zijn weer die een met de plank niet onderaan maar iets omhoog en die twee dinge aan de bovenkant 
B: 	dat zijn bij mij J 
B: 	met dat plaat maar dan een stuk veel naar het midden 
A: 	ja dat zijn nummer negen 
B: 	een 
A: 	die met de plaat die iets in het midden zitten 
B: 	N 
