B: 	oké deze staan op een driehoek met een draaien ding naar dat mokje toe zeggen maar 
B: 	en aan de bovenkant zitten er twee vierkant uit en aan de linkerkant iets scheef 
A: 	ja 
A: 	oké dat zijn vier 
A: 	dit zijn dat ding met zo'n driehoek onder en dan nog zo'n draaien ding na dat kop en er staan een vierkant bovenop 
B: 	ja ja 
B: 	ja 
A: 	nog een vierkant en nog iets ander 
B: 	ja 
B: 	oké 
B: 	dat zijn A 
B: 	oké ik hebben diegene die op een driehoek staan met draaien ding 
A: 	ja 
A: 	ja dat zijn tien 
A: 	dit zijn dat ding met dat driehoek en die gedraaide 
B: 	ja 
A: 	die naar die pot gaan zeggen maar 
B: 	ja dat zijn L 
B: 	ik hebben diegene met de driehoek en dan draaien en daarop staan die mok 
A: 	ja dat zijn vier 
A: 	dit zijn die met dat driehoek en dat draaien ding waar die op staat 
B: 	ja dat zijn F 
