A: 	bij mij zijn het één het kop dan zeggen maar met aan de en dan rondkomen er eigenlijk een soort van twee staf uit maar die zijn een beetje 
A: 	die zijn niet perfect rond en er zitten twee bobbel aan het uiteinde ik hebben het een beetje zien alsof dat een soort van als je één zullen zien alsof het een kanon zijn eigenlijk wat wat kunnen gaan schieten 
A: 	dan hebben die ook een soort van kennen je zo'n ouderwets wastobbe zeggen maar met waar je over zo'n ding heen kunnen ratsen zeggen maar 
B: 	ja 
A: 	het lijken een beetje alsof die er zo half in staat 
B: 	die ja 
A: 	en aan de zijkant hebben die dus twee van die ja van die staven met van die bobbel eraan zitten 
B: 	ja 
B: 	en een soort plaat erbovenop waar een soort dit 
A: 	ja 
A: 	ja 
A: 	ja inderdaad een beetje zo'n zo'n zo'n inderdaad een soort van scherm wat erin lijken te hangen of zo met een soort van staafje er nog eens achter zeggen maar ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	oké dat zijn K 
B: 	ik zijn ook in de war dit zijn waarvan jij zeggen met dat wasbord 
A: 	ja met die twee ding die eruit komen ja 
B: 	met die twee 
B: 	ja die ja 
A: 	negen zijn dat bij mij 
A: 	dit zijn die een met die twee kanon met dat kanon eruit met dat wasbord 
A: 	wat erin hangen 
B: 	ja 
A: 	met die twee staven zeggen maar met die bollen er aan het uiteinde 
B: 	ja 
B: 	ik weten het 
B: 	ik zoeken hem 
B: 	ja nee 
B: 	wachten 
B: 	daar ja 
A: 	ja 
B: 	met dat plaat weer van alsof we hier op kijken 
A: 	ja ja ja ja ja ik noemen het het wasbord zo zeggen maar dat wastobbeidee 
B: 	ja 
B: 	oké 
B: 	ja 
B: 	kloppen 
B: 	ja 
B: 	F 
A: 	dus hij zitten net een klein beetje rechts van het midden zitten die 
A: 	ja 
B: 	dit zijn de het wasbord 
A: 	waar staan die 
B: 	en de kanon volgens 
A: 	nummer drie 
A: 	die een met het wasbord en die twee kanon die eruit komen 
B: 	yes 
B: 	waar zijn ze als ik ze nodig hebben 
A: 	staan bij mij rechtsonder in het kwadrant 
B: 	ja bij mij ook wat handig 
B: 	L 
B: 	dit zijn het wasbord 
A: 	nummer vijf 
