B: 	aan de Rechtervoorkant zitten een soort van bolle en daar zitten niks aan 
B: 	aan de bovenkant zitten één een rechthoekig langwerpig uitsteeksel 
B: 	dat toren 
B: 	en aan de linkerkant zijn een soort van gek vormp dat ook 
A: 	ja ik weten het 
A: 	twaalf 
A: 	ik hebben een bol rechtsvoor 
A: 	en dat gek vormp zeggen maar één staaf aan de bovenkant en een gek vormp aan Linksboven 
B: 	ja ja 
B: 	c 
A: 	een soort dobber 
B: 	ik hebben die soort van dat balle voorop 
B: 	dan dat een heel gek voorwerp en die lang recht staaf dat 
A: 	bovenop 
B: 	ja bovenop hoe noemen je die ook alweer 
A: 	ja 
A: 	dat vooraan met links naar links wijzen die dobber 
B: 	ja ja dobber ja ja 
A: 	negen 
A: 	ik hebben die dobber die linksboven wijzen 
B: 	ja waar zijn 
A: 	onder ander een bol aan de rechterkant 
B: 	waar zitten die 
B: 	stom 
B: 	ah l 
B: 	ik hebben de dobber bovenop 
A: 	ja twaalf 
A: 	ik hebben de dobber 
B: 	de dobber 
B: 	zijn even bezig met zoeken ah n 
