B: 	ik hebben het rood vierkant 
B: 	bij mij hebben die een soort traanvormig afronden uitsteeksel op het bovenste gedeelte 
B: 	daarachter zijn een cirkel die half Verscholen zijn 
B: 	lijken op een soort voe te staan 
B: 	en dan hebben die een cilindervormig uitsteeksel 
A: 	ja 
A: 	dat zijn hier nummer dertien 
B: 	ja 
A: 	dit zijn de koffiemok die rechtsboven een lepeltje hebben dat uitsteken 
A: 	hij staan op een klein balk 
B: 	ja 
A: 	en 
B: 	dat zijn bij mij denken ik O hij hebben een een een rond erachter toch 
A: 	ja 
B: 	ja O 
A: 	oké 
B: 	ik hebben het de basisvorm daarachter zitten een soort cirkel 
B: 	op een voe 
B: 	met een cilinder of hoekigvormig cilinder uitstekend en dan een soort van nog dat dat ja dat lepel wat je 
B: 	dus de hij staan op een voe 
A: 	ja 
B: 	en 
A: 	en hij hebben links één handvat 
B: 	ja en dan 
A: 	en rechtsboven een lepeltje 
B: 	ja 
A: 	ja nummer acht 
A: 	dit zijn de mok die op een plateautje staan 
A: 	die waar rechtsboven een lepel uit opsteken en aan de linkerkant een handvat zitten 
A: 	en aan de achterkant een rond 
B: 	ja C 
A: 	top 
B: 	ik hebben degeen op een voe 
B: 	cirkelvorm erachter en dan een soort gek cilinder 
A: 	ja 
A: 	een lepeltje rechtsboven 
B: 	ja 
A: 	ja 
A: 	nummer zeven zijn dat 
A: 	dit zijn de mok die op een klein blok staan 
A: 	waar rechtsboven een koffielepel uit komen 
A: 	op links een een een handvat en daarachter een cirkel 
B: 	ja dat zijn C 
A: 	oké 
B: 	vol 
A: 	hallo 
