A: 	deze zijn heel gek 
A: 	van link lijken het op een hondenkoek en dan daar bovenop staan een trompet 
B: 	wat 
B: 	een hondenkoek met een trompet 
A: 	ja 
A: 	en links hebben hij zo zo'n twee twee rond uitsteeksel en daarboven zitten gewoon zo'n lang toeter trompet 
B: 	ja dat zijn b 
B: 	deze hebben voor jou dat hondenkoek met die antenne eraan 
A: 	trompet 
B: 	trompet 
A: 	vijfteen 
B: 	ik vinden het veel een schoorsteen 
A: 	ja kunnen ook 
B: 	trompet kunnen ook 
A: 	ja ja brok met schoorsteen 
B: 	d 
B: 	trompet en hondenbrok 
A: 	dertien 
A: 	de schoorsteen 
B: 	schoorsteen 
A: 	aan de linkerkant 
B: 	ik kunnen hem niet vinden 
A: 	trompet 
B: 	ja ik weten welk je bedoelen maar 
A: 	toeter 
B: 	daar 
B: 	i 
B: 	hondenbrok en trompet 
A: 	zeven 
