A: 	nu het zijn eigenlijk de wc-pot maar dan de achterkant er lopen een buis doorheen 
A: 	met een bobbel aan de bovenkant en de staaf van de pot zitten aan de voorkant als we 
B: 	ah oké 
B: 	dus het zijn een kop met de staaf erdoorheen door het midden 
A: 	ja 
B: 	en een rond op de bovenkant en een staaf aan de voorkant 
A: 	ja en een 
A: 	aan de voorkant , ja 
B: 	dan zijn het B 
B: 	het zijn veranderen 
A: 	volgens mij zijn dat de één zestien dan 
B: 	oké 
B: 	nou dan hebben we nog vijf te gaan 
A: 	vijf ronde 
B: 	een kop met een ei erbovenop en een pilaar aan gezichtszijde 
B: 	en met een buis door het midden heen 
A: 	oké 
A: 	nummer dertien 
A: 	een bak met bovenop een ei , links en rechts zitten een een soort van pijp , en de , waar die op leunen , de vierkant , zitten aan de voorkant 
B: 	ja 
B: 	dat zijn L 
B: 	een kop met een ei op de bovenkant en twee pinn doorboren hem in het midden 
A: 	nummer zes 
A: 	bovenop een ei doorboren door een buis , aan de voorkant een een steun , een pilaar 
B: 	ja dat zijn L 
B: 	de bak met het ei er bovenop en doorboren door een pilaar paal 
B: 	die leunen op een pilaar aan de voorkant 
A: 	ja 
A: 	nummer veertien 
