A: 	ja hier hebben ik een soort 
A: 	of Pacman wat zeggen ik nu een drukper in zien weer die ovaal vorm met eigenlijk een soort plank eraan een rond plank 
A: 	en dan wel in de vorm van een Pacman zitten er aan de ander zijkant weer aan 
A: 	en daar zitten een pin in 
A: 	alsof je die pin zo eigenlijk naar je toe willen meedraaien 
B: 	ja 
B: 	zo'n heel lang 
A: 	ja 
B: 	aan de zijkant 
B: 	oké dat zijn L 
A: 	oké 
B: 	deze hebben jij net dat zijn zeggen maar hoe noemen je dat 
B: 	met die hengel 
B: 	met die haak die je zeggen maar kunnen doen want dat zijn dat komme 
A: 	die drukper 
B: 	ja drukper 
A: 	ja 
B: 	ja dat zijn hem 
A: 	dat zijn nummer zeven bij mij 
A: 	dit zijn de drukper 
A: 	dus met de plank 
A: 	en die je zo kunnen trekken 
B: 	dat zijn C 
B: 	dit zijn die met die hengel 
B: 	die 
A: 	de drukper 
B: 	ja dat drukper 
A: 	ja 
A: 	dat zijn nummer één 
A: 	dit zijn de drukper dat zijn met de staaf die 
B: 	dat zijn A 
B: 	dit zijn met die hendel 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer dertien 
