A: 	oké 
B: 	oké dit lijken een beetje een soort poppe met vlechtjes aan de zijkant dus een soort raar ringachtig ding 
B: 	en dan een schijf op de voorkant 
A: 	ja 
B: 	en dan een plaat eronder 
B: 	dat zijn nogal kenmerken 
A: 	met nog twee uitsteeksel aan de achterkant 
B: 	ja 
A: 	ja 
B: 	twee tube soort van 
A: 	dat zijn nummer vijf 
A: 	dit plaat zijn die ja wat zeggen je nou met de vlech volgens mij 
B: 	ja 
A: 	met het bolle aan de voorkant die op een plateau staan met aan de achterkant nog twee uitsteekselt 
B: 	ja 
B: 	dat zijn J 
B: 	meisje met de staart en plaat voorop 
A: 	vlecht 
B: 	vlechtjes dat zijn het 
A: 	ja 
A: 	elf 
A: 	dit zijn het die met de vlechtjes die op het plateau staan 
B: 	ah B P 
A: 	het rond aan de voorkant 
B: 	meisje met de vlecht 
A: 	ja nummer negen 
B: 	en 
A: 	en dit zijn het meisje met de vlecht 
B: 	L 
