B: 	ja deze hebben ook zo'n ik denken ook zo'n vierkant vlak maar dan wat hoog het lijken een beetje zo'n plank 
B: 	waar dan zo'n vierkant bak op staan 
A: 	een plank waar een vierkant bak op staan 
B: 	zeggen maar een plaat met twee poot 
B: 	die om de beker staan 
A: 	even even even overnieuw 
B: 	het zijn de beker gewoon en dan zijn het zo'n vierkant plaat die meerdere hebben en die zitten dan ongeveer op driekwart dus best wel hoog 
A: 	ja 
B: 	en het lijken alsof het zo'n plank zijn en daar staan dan een soort vierkantig bak op 
B: 	op dat plank 
A: 	wachten en oké dus en hij hebben ook nog twee van die balkjes naar beneden 
B: 	ja 
A: 	en dan een soort van ja een kuip en dan nog een klein oor aan de linkerkant 
B: 	ja 
A: 	dan zijn dat nummer zestien 
A: 	ja dit zijn dat kop met dat balk met twee balk die daaraan hangen en dat 
A: 	mand dat op het balk staan en dat klein oor Linksboven 
B: 	ja ja 
B: 	dat dat plank zullen ik maar zeggen 
A: 	ja 
B: 	oké dat zijn P 
B: 	dit zijn weer dat kop met dat plank met die twee poot 
B: 	waar dan dat kuip op staat 
B: 	en staart aan de achterkant 
A: 	staart daar links 
A: 	ik zijn hem even aan het zoeken ik weten welk je bedoelen maar 
A: 	waar staan die nou 
A: 	ja ja 
A: 	dit zijn kop 
A: 	balk met twee van die ding 
B: 	ja 
A: 	dinge en dat oor link 
B: 	ja 
A: 	dat zijn nummer veertien 
A: 	het kop met de balk met de twee klein balkjes erop en het mand die op het balk staan en het klein oor aan de linkerkant 
B: 	ja 
B: 	het plank zullen ik maar zeggen 
B: 	toch 
A: 	ja 
B: 	dat zijn N 
B: 	dit zijn weer dat ding dat plank met die twee plank 
A: 	ja en het en het nummer tien 
B: 	het bak erop 
A: 	het balk met de steunbalkjes en het kuip en het klein oor aan de linkerkant 
B: 	ja ja 
B: 	dat zijn D 
