A: 	oké 
A: 	deze zijn een beetje lastig uit te aanleggen het lijken een beetje alsof er een schuin boek op de bovenkant staan 
A: 	met een soort van horizontaal figuur erdoorheen 
A: 	helemaal boven op dat blauw ding laten maar zeggen het lijken op een soort van boek 
B: 	dat 
A: 	ja met een soort van 
B: 	met twee van die ding aan de zijkant aan de rechterkant 
A: 	ja en dan nog zo'n L onderaan 
B: 	ik vinden dat deze echt op een kip lijken 
B: 	er zitten er zitten een snavel 
A: 	ik snapen wat je ik snapen wat je bedoelen 
B: 	oké dan zijn dat I 
B: 	dit zijn die een die ik een kip noemen maar die niet de kip zijn met het boek en dan de twee stapel aan de zijkant van het boek 
A: 	ja kloppen dat zijn bij mij negen 
A: 	ik hebben die met dat boek weer met die twee trap erdoorheen 
B: 	ja die 
B: 	dat zijn H 
B: 	ik hebben die een met het boek en de twee stapel ernaast 
A: 	ja nummer elf 
A: 	ik hebben die met dat boek bovenop 
A: 	en die twee stapel erdoorheen 
B: 	dat zijn D 
B: 	dit zijn die een met het boek en de twee stapel aan de zijkant 
A: 	veertien 
