B: 	dan deze hebben een verrekijker naar links 
B: 	lijken op een verrekijker twee van die 
A: 	met zo'n toeter eruit 
B: 	nee 
A: 	of niet 
A: 	met een met een met een champignon op zijn dak 
B: 	twee van die vierkant een soort vierkant blok verrekijker 
B: 	ja met die champignon op zijn dak en de plat ding aan de voorkant 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn die een met de verrekijker en de champignon op zijn dak 
A: 	met de plat voorkant 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	dit zijn de vierkant verrekijker naar links met de champignon op het hoofd en de het plat vierkant aan de voorkant 
A: 	ja dat zijn negen 
A: 	dit zijn de verrekijker met de champignon op zijn dak 
B: 	waar zijn je 
B: 	ja en het vlak aan de voorkant 
B: 	dat zijn bij mij d 
B: 	de verrekijker naar links en de champignon op het hoofd 
A: 	dat zijn één 
B: 	het vlak aan de voorkant 
A: 	de verrekijker met de champignon op zijn dak 
B: 	even kijken waar staan die ? dat zijn B 
