B: 	deze hebben bovenaan een balk liggen 
B: 	en linksonder hebben die een soort van ja klein armp 
B: 	en de voorkant zijn een klein staaf met daaronder iets wat moeilijk te zien zijn 
B: 	het zijn in ieder geval de enig die bovenop echt een een balk hebben liggen zeggen maar 
A: 	even kijken hoor 
B: 	dat zijn het makkelijkst om te zien denken ik 
A: 	ja ja ja 
A: 	ja ik weten welk het zijn 
A: 	en dan aan de zijkant hebben die zo'n soort soort mouw of zo lijken het wel 
B: 	ja inderdaad zo'n 
A: 	oké 
A: 	nummer acht 
A: 	dit zijn dat ding met dat enig recht balk zo bovenop 
A: 	en dan die 
B: 	ik weten welk je bedoelen 
B: 	met het mouwt zeggen maar link 
A: 	ja met het mouwt ja 
B: 	E zijn dat 
B: 	dit zijn die met dat balk bovenop en dat mouw 
A: 	ja 
A: 	nummer één 
A: 	dit zijn dat een ding met dat recht balk bovenop en die mouwt 
B: 	ja E 
B: 	even kijken dat balk bovenop en dat mouw 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	nummer zestien 
A: 	dat ding met dat balk erop 
A: 	als enig dat plat balk en die mouwt 
B: 	ja O 
