B: 	ik hebben er nou één dat ja het lijken eigenlijk een een soort van een tafel en dan hebben je daar dus 
B: 	ook zo'n een kom erdoorheen zeggen maar 
B: 	of ja een soort van beker erdoorheen zeggen maar en op dat tafel zullen ik daarover kunnen zeggen staan dan ook nog een een komme zeggen maar 
A: 	een zo'n bak 
B: 	ja 
A: 	ja dan weten ik 
A: 	dan zijn het bij mij nummer 
A: 	echt zo'n soort dienblaad of zo ervoor met met zo'n bak erop of zo 
B: 	ja 
A: 	oké dat zijn bij mij nummer zestien 
A: 	ik hebben er nu één met dat blad ervoor met dat bak erop zeggen maar 
B: 	oké ja die soort van tafel zeggen maar 
A: 	dat soort vierkant bak 
A: 	ja die soort tafel ervoor 
B: 	oké dat zijn dan bij mij P 
B: 	nou hebben ik weer dat tafel zeggen maar met dat komme ervoor en dan weer zo dat ja zeggen maar 
A: 	ja dat dat tafel met die twee poot zeggen maar en dat komen dinge 
B: 	ja die 
A: 	ja 
A: 	dat zijn bij mij nummer veertien 
A: 	ik hebben nu die een met dat tafel ervoor en dat bak erop 
B: 	ja even zoeken 
A: 	en bij mij staan die er een beetje link van 
B: 	ja 
B: 	bij mij zijn het N 
B: 	hebben we weer dat tafel met die met dat bak erop zeggen maar en dan die twee tafelpoot zeggen maar 
A: 	weer een nieuw 
A: 	ja 
A: 	dat zijn nummer tien bij mij 
A: 	ik hebben nu die een met dat tafel bij mij staan die een beetje aan de rechterkant 
A: 	en dan dat bak erop zeggen maar 
B: 	ja 
B: 	bij mij zijn dat D 
