A: 	ja 
B: 	dan moeten ik beginnen 
A: 	ja dat denken ik wel 
B: 	oké 
B: 	het plaat waar het vierkant omheen staat hebben aan de linkerkant een ja een soort buisje naar buiten of één en aan de achterkant een rond 
B: 	dus het rond zitten aan de achterkant 
A: 	oké maar zitten er ook nog iets bovenop 
B: 	er zitten nog een ja een soort kegel bovenop 
A: 	zo'n pluimp bovenop 
B: 	ja precies pluimp kegel 
A: 	ja 
B: 	en dan het rond aan de achterkant dat zijn volgens mij de enig met een 
A: 	ja en dan zo'n zeskantig staaf aan de linkerzijkant 
B: 	perfect 
A: 	ja 
B: 	ja die 
A: 	dat zijn dertien 
A: 	ja dit zijn die emmer met aan de achterkant dat rond 
A: 	aan de linkerzijkant zo'n zeshoekig staaf en dan boven 
B: 	ja 
B: 	ja dat zijn O 
B: 	deze zijn met dat rond achterop 
B: 	en die staaf met die zes hoek aan de aan de aan de linkerkant 
A: 	ja met die zeshoekig staaf aan de en 
B: 	ja en dat rond achterop 
A: 	ja precies 
A: 	dat zijn acht 
A: 	ja dit zijn dat rond aan de achterkant 
A: 	die zeshoekig staaf aan de linkerzijkant 
B: 	ja 
B: 	C 
B: 	dit zijn dat rond achterop 
A: 	ja dat rond achterop 
A: 	met die zeshoekig staaf 
B: 	yes 
A: 	ja dat zijn zeven 
A: 	ja dit zijn die dat rond aan de achterkant en die zeshoekig staaf aan de zijkant 
B: 	ja C 
A: 	ah 
B: 	nu komen het volgen deel van het experiment oké 
A: 	oké 
