A: 	even kijken deze dat zijn een normaal bekert laten maar zeggen met aan de rechterzijde een soort cirkel 
A: 	en aan de linkerzijde iets wat op een kaneeltaafje lijken wat zeggen maar er doorheen lopen 
A: 	en dan in dat kaneelstaaf laten maar zeggen zitten een soort groot ja een soort naaldachtig iets 
B: 	ja 
A: 	hoe zullen ik dat omschrijven 
B: 	ja ik zien het zelf misschien als iets van dat water dat uit de muur lopen of dat het zo omhoog spuiten 
A: 	soort spijker 
B: 	want het eindigen in een vierkantje toch 
A: 	ja ja precies alsof er zeggen maar in een soort muurt laten maar zeggen wat water komen en dat je zeggen maar door die twee buisjes dan in een beker zullen kunnen lopen 
B: 	ja en met zo'n plateau aan de rechterkant 
A: 	ja een soort cirkelachtig plateau inderdaad 
B: 	ja 
A: 	ja 
B: 	dan zijn het h 
B: 	dit zijn die een met het water uit de muur het kaneelstaaf en het cirkelplateau 
A: 	ja waar zijn die ook alweer 
A: 	zijn ik het nou kwijt 
A: 	ja dus een soort dat naald en met het cirkelt daar rechts van 
A: 	toch 
B: 	naald zijn wel links 
A: 	of laten maar zeggen 
A: 	ja naald zijn links en dan dat cirkelt plateauachtig zijn rechts 
B: 	ja 
A: 	ja dat zijn nummer zestien 
A: 	dit zijn weer zeggen maar met die kaneelstaafjes aan de linkerzijde 
A: 	met een cirkel aan de rechterzijde en iets wat 
B: 	ja 
A: 	ja dat water wat uit de muur komen 
B: 	ja dat zijn n 
B: 	het water dat uit de muur komen kaneelstaaf en cirkelplateau 
A: 	ja 
A: 	negen nummer negen 
A: 	water uit de muur met een kaneelstaaf en een cirkelt rechts van het beker 
B: 	dat zijn a 
B: 	het kaneelstaaf water uit de muur en plateau 
A: 	ja 
A: 	nummer veertien 
