A: 	dit zijn een soort ja doen me een beetje aan een gieter denken of zo aan de rechterkant steken iets uit met een bol aan de zijkant en aan de linkerkant ook 
A: 	dus hebben je zo'n langwerpig staaf met aan de rechterkant een bol en aan de linkerkant ook en dan zo'n schuin vierkant links bovenin 
B: 	ja 
B: 	a 
B: 	dit zijn die gieter 
B: 	met die dus die staaf door erdoorheen met allebei twee bol uiteinde 
A: 	ja ja ja drie 
B: 	en dan die ja 
A: 	dit zijn die gieter met die twee bollen aan de zijkant 
B: 	ja l 
B: 	dit zijn de gieter 
A: 	ja veertien 
A: 	dit zijn de gieter 
B: 	even kijken 
B: 	f 
B: 	dit zijn de gieter 
A: 	ja 
A: 	waar staan hij tien 
