A: 	okee dit zijn ook weer het kop en hebben een neus en die hebben iets door zijn neus heen 
B: 	ja 
A: 	en het lijken op een spijker maar dan zitten er geen punt zijn geen puntig spijker 
A: 	en hij hebben een klein kuifje achter 
A: 	dus zo een neus 
B: 	wachten een neus en dan ja ja ik weten 
A: 	en dan iets erdoorheen zo 
A: 	en aan de rechterkant hebben hij dus aan dat ding dat erdoorheen zitten zitten zo'n rond 
B: 	link toch 
B: 	wachten sorry zitten een rond links linksboven zitten dat ding zijn een haar of een zeggen je ja 
A: 	ja 
A: 	ja een kuifje 
B: 	okee nummer f zijn dit 
B: 	deze zijn het ei met de stok erdoorheen en een lepeltje 
A: 	ah 
A: 	waar zitten die 
A: 	ja ja die hebben zo'n klein 
B: 	ja 
A: 	dat zijn nummer tien 
A: 	deze hebben een spijker door zijn neus 
B: 	ja even pijnlijk wel 
A: 	niet een echt spijker 
B: 	nummer I zijn letter I zijn dat 
B: 	dit zijn het ei met de stok erdoor 
B: 	en een lepeltje 
A: 	door zijn neus heen 
B: 	ja 
A: 	daar zitten hij nummer negen 
A: 	deze hebben de spijker door zijn neus 
B: 	waar zijn je blijven 
B: 	ja a 
B: 	dit zijn die met ei als neus en een stok erdoor en een lepeltje link 
A: 	dat zijn nummer zeven 
