B: 	dit zijn een soort heel blij poppet met één been 
B: 	nee het zijn dat kop en dan hebben die precies in het midden een vierkantje 
A: 	ja hebben die een soort van Standaard 
A: 	lijken het op een beetje op een prijs een travee trofee 
B: 	ja maar wel een beetje scheef 
B: 	ja 
B: 	zo zullen je het maar dan wel een beetje schef Standaard 
A: 	ja 
A: 	ja dan zitten er twee blok op plus één soort van staafje 
B: 	ja die 
A: 	ja dat zijn bij mij vier 
A: 	bij mij zijn het de trofee die een beetje op die schuin standaard staan zeggen maar met die twee blok en dat ander dinge erbovenop 
B: 	ja 
A: 	weten je welk ik bedoelen 
B: 	die Schuine 
A: 	ja die zo'n beetje draaien poot zo omhoogging zo 
B: 	ja 
B: 	ja 
A: 	ja de trofee 
B: 	met een klein blok groot blok en een schuin ding 
A: 	ja 
B: 	ja oké dat zijn A 
B: 	dit zijn die trofee 
B: 	dus met dat raar scheefstaan stuk 
A: 	ja ik zien hem tien 
A: 	tien 
A: 	de trofee 
B: 	die scheef staan zo 
A: 	ja 
B: 	ja 
B: 	oké dat zijn L 
B: 	dit zijn de trofee 
A: 	nummer vier 
A: 	de trofee 
B: 	ja F 
