B: 	ja deze hebben ook zo'n ding eromheen 
B: 	aan de bovenkant met twee poot 
A: 	ja 
B: 	en 
A: 	en zo'n blok erbovenop 
B: 	ja 
A: 	ja dat zijn bij mij nummer zestien 
A: 	ik hebben die een weer met dat een soort van tafel laten maar zeggen aan de bovenkant dat het zo er zo doorheen doorgaan met twee van die poo er onderaan 
B: 	ja die 
A: 	met dat ding erbovenop 
B: 	dat zijn 
B: 	ja dat zijn P 
B: 	ik hebben die een met de tafel eromheen 
B: 	en dat ding erop 
A: 	en die poot ja 
B: 	ja 
A: 	dat zijn bij mij nummer veertien 
A: 	ik hebben diegene met die tafel met die poot laten maar zeggen 
B: 	oké 
B: 	dat zijn N 
B: 	ik hebben die een met de tafel eromheen 
B: 	en die twee poot 
A: 	ja 
A: 	nummer tien 
A: 	ik hebben die met dat tafel met die twee poot 
B: 	dat zijn D 
A: 	bij mij staan die helemaal rechts van het scherm 
