B: 	okee 
A: 	deze hebben twee rechthoekig staafjes die er rechts naar binnen gaan 
A: 	en aan de bovenkant een groot pion zeggen maar 
B: 	okee en hebben je wachten je hebben dus twee van die blok die in de zijkant zitten 
A: 	ja die steken erin zeggen maar 
B: 	ja ja ja en en dan hebben je linksonder nog iets 
A: 	en dan en dan 
A: 	linksonder zitten nog nog een minifiguur zo'n zo'n soort van komma weer die eruit steken 
B: 	ja ja en daar iets boven zitten een 
A: 	en daar iets boven zitten nog zo'n recht ding ja 
B: 	ja 
B: 	ja 
B: 	dan zijn het i ja 
B: 	deze hebben een een een een soort van een bak op de bovenkant 
A: 	ja 
B: 	een 
B: 	en aan de zijkant twee van die blok 
B: 	echt aan de aan de rechterzijkant twee identiek blok 
A: 	ja dan weten ik al welk het zijn 
A: 	zes 
A: 	deze zijn waar we net zo lang uitleg over hebben want die vinden we moeilijk waar twee identiek staafjes aan de zijkant zitten en zo'n zo'n blok bovenop 
B: 	okee aan de zijkant hebben je aan de onderkant zitten daar iets 
A: 	ja linksonder zitten nog zo'n kommavorm zeggen maar weer 
B: 	zo'n kromming 
B: 	ja en één en daarnaast daar hebben je nog zo'n soort van ook iets wat uitsteken toch 
A: 	ja zo'n kromming 
A: 	ja daarboven 
B: 	daarboven ja ja 
A: 	ja 
B: 	okee dat zijn a 
B: 	deze zijn met dat bak aan de bovenkant met die twee identiek rechthoeak aan de zijkant 
A: 	ja wachten ik weten welk je bedoelen 
A: 	ja drie 
B: 	okee 
B: 	ja 
A: 	dit zijn met die twee identiek vorm aan de aan de rechterkant en dat bak bovenop 
B: 	ah ja ja dat zijn f 
B: 	dit zijn met dat ja met die identiek blok aan de zijkant rechterzijkant 
B: 	en bovenop hebben je 
A: 	ja 
B: 	ja 
A: 	elf 
B: 	okee 
