A: 	deze hebben twee identiek poot zeggen maar er zitten er één onder en één aan de rechterkant 
A: 	en daar bovenop staan een ruitding met twee van die van die sterrenkijker aan de zijkant 
B: 	ja 
B: 	en 
A: 	en er opsteken nog een stok uit aan de voorkant 
B: 	ja rechtsvoor of zoiets 
A: 	ja 
B: 	en die poot hebben een soort van kromming toch 
A: 	ja ja kloppen 
B: 	ja 
B: 	okee dat zijn bij mij à 
B: 	deze hebben onder en rechts kapstokdingen en naar voren steken ook een staaf en bovenop zijn een een vierkant met een punt die met de punt zeggen maar erin zitten 
A: 	ja waar twee van die sterrenkijker uitkomen 
B: 	ja 
A: 	ja dat zijn een 
A: 	dit zijn die met die twee poot één onder en één rechts en bovenop zijn die ruit met die twee sterrenkijker erin 
B: 	ja dat zijn o 
A: 	ja 
B: 	dit zijn met onder en rechts de kapstokha en bovenop een plat vierkant 
A: 	yes met die sterrenkijiker 
B: 	ja 
A: 	ja tien 
A: 	dit zijn met die twee haak onder en rechts en die plat vierkant bovenop 
B: 	daar ja ja het spiegelen een beetje onder een plat ja dat zijn a 
B: 	de de kapstokk onder en rechts 
A: 	ja dat zijn acht 
