A: 	ja ik vinden deze op een vogel lijken 
A: 	het zijn met die hebben zo'n snavel met twee van die rechthoeak die aan de rechterkant er uit komen en zo'n 
A: 	driehoek met de plat bovenkant er bovenop en dan zo'n dinge naar achteren met zo'n staart eronder die ook naar achter wijzen 
B: 	ik zien geen vogel maar hij hebben een piramide op zijn hoofd 
A: 	ja maar dan zonder ja je hebben er één met zo'n heel scherp piramide 
B: 	ja 
A: 	en dat zijn hem niet het zijn met het begin van de piramide maar de punt zijn er zeggen maar afsnijden 
B: 	o die die lijken wel op een vogel 
A: 	toch ? ja dat lijken echt net 
B: 	en die hebben dan twee balk die maken een snavel 
A: 	ja dat zijn zeggen maar zijn snavel en dan hebben hij zo'n vleugel naar achter en van die staartvear naar achter 
B: 	ok 
B: 	ja 
A: 	die boog naar achter dus dat zijn echt een superduidelijk vogel 
B: 	ok dat zijn dan I 
A: 	ok 
B: 	dit zijn die vogel 
A: 	ja 
A: 	even kijken waar staan hij dat zijn nummer twee bij mij 
B: 	met twee balk rechts 
B: 	en een vleugel 
A: 	ja 
A: 	ja dit zijn die vogel met zijn twee ding en zijn vleugel naar achter 
B: 	ja dat zijn voor mij M 
A: 	ja 
B: 	dit zijn de vogel 
A: 	dat zijn nummer negen 
A: 	dit zijn die vogel 
B: 	vogel dat zijn voor mij F 
B: 	dit zijn de vogel 
A: 	ja dat zijn nummer zes 
