B: 	je hebben dus weer de hoofdvorm 
B: 	en eigenllijk staan het zitten er nu ook weer een vierkant plateau omheen maar dan aan de bovenkant 
B: 	met twee soort van poot 
B: 	aan de rechterkant 
B: 	en daarop staan ook weer zo'n soort van yoghurtbak 
A: 	ja 
A: 	dat zijn nummer zestien 
A: 	hier hebben je weer de hoofdvorm met een plateau een beetje boven het midden van de hoofdvorm met twee poot eronder en een yoghurtbak erop 
B: 	ja 
B: 	m 
B: 	dit zijn de hoofdvorm dat het vierkant plateau waar de hoofdvorm in staat boven zitten met een soort van yoghurtbak bovenop en twee tafelpoot zijn daaraan vast 
A: 	ja nummer dertien 
A: 	deze hoofdvorm hebben bovenaan boven het midden een plateau in zich en een yoghurtbak er op en je zien linksachter nog een heel klein uitsteeksel 
B: 	yes 
B: 	f 
B: 	dit zijn de hoofdvorm dat het vierkant plateau met een soort van poo helemaal bovenop ja het hoofdvorm staan laten we maar zeggen in dat vierkant plateau en er staan van die tafelpoot zitten eraan vast en een yoghurtbak bovenop 
A: 	ja 
A: 	even zoeken hoor 
A: 	ik kunnen hem niet vinden 
B: 	weten je wel welk ik bedoelen 
A: 	ja 
B: 	okee 
A: 	ja ja nummer drie 
A: 	deze hoofdvorm hebben bovenin een plateau die er omheen dus zitten 
A: 	en op dat plateau staan een yoghurtbak met twee tafelpoo 
B: 	yes 
B: 	a 
