A: 	alsof je kennen je die bankschroef waar waar je als als kind daar doen ik altijd mee spelen waar je hem ieder keer zo 
A: 	moeten je hem ieder keer zo aandraaien dat zitten aan de linkerkant met een plat rond plateau aan de rechterkant 
B: 	zitten aan de linkerkant met een rond plateau 
A: 	ja vag kunnen ik het niet maken 
A: 	er zitten een aan de linkerkant zitten er een pin 
A: 	er zitten een een een nietgeometrisch vorm met een pin 
A: 	en aan de ander kant zitten een rond plateautje 
B: 	ja ja L 
B: 	deze zijn die met dat rond plateau met die bankschroef 
A: 	ja even kijken waar die zijn 
A: 	ja zeven 
A: 	zijn die bankschroef weer 
B: 	C 
B: 	die zijn met dat plateau die dat bank schroefding 
A: 	die bankschroef 
B: 	ja 
A: 	één 
A: 	de bankschroef 
B: 	A 
B: 	dit zijn die bankschroef 
A: 	ja 
B: 	met dat dienblaad aan de zijkant 
A: 	dat zijn dertien 
