B: 	rood 
B: 	oké deze dit zijn die trofee die echt op die spiraal staan 
A: 	ja dat zijn een soort man wat aan het dansen zijn wat zo aan het twisten zijn 
B: 	ja ja ja ja en 
A: 	oké 
B: 	dat kunnen er maar één zijn 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	dit zijn die dansen man 
A: 	met op dat voetstuk 
A: 	met die spiraal 
B: 	ja die op dat op dat driehoekig voetstuk 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij zijn dat A 
B: 	dit zijn de trofee 
B: 	op het voetstuk 
A: 	ja 
A: 	nummer tien 
A: 	de trofee 
A: 	met die spiraal 
B: 	yes 
B: 	dat zijn L 
B: 	dit zijn de trofee 
B: 	op het voetstuk 
A: 	dat zijn nummer vier 
A: 	de trofee 
B: 	F 
