A: 	nu zijn het wel die een met die ja dat infeestmutsjen op 
B: 	ja 
B: 	de driehoek en 
A: 	ja 
A: 	ja 
B: 	oké J 
B: 	ah dit zijn met de driehoek op zijn hoofd 
A: 	met die met die wielet eronder 
B: 	en 
B: 	wielet onder 
B: 	ik weten niet of dat een wiele zijn 
A: 	met dat ronde 
B: 	ja er zijn één rond dinge eronder en een 
A: 	ja precies 
B: 	hebben ik een raar best wel groot ding aan de rechterkant 
A: 	ja precies en zo'n klein hendel aan de 
B: 	ja 
A: 	ja oké 
A: 	dat zijn zes 
A: 	dit zijn die met die feestmuts op en die raar ding aan de voorkant 
A: 	met dat rond aan de onderkant 
B: 	ja de feestmuts 
A: 	ja 
B: 	oké E 
B: 	die een met het feesthoed 
A: 	even kijken ja dat zijn nummer tien 
A: 	het feesthoed 
B: 	oké G 
B: 	het feesthoed 
A: 	nummer tien 
