A: 	even kijken het figuur zijn een een soort kop waar het lijken alsof er een lepel uitsteken aan de bovenkant eigenlijk hetzelfde figuurt ongeveer als wat we net hebben 
A: 	en aan de voorkant zitten een bolle en daaruit steken een ja soort staaf 
B: 	een soort neuspiercing 
B: 	prachtig maar dan heel extreem 
A: 	zoiets ja 
B: 	of zo 
B: 	ja ik denken dat ik wel weten welk dat zijn 
A: 	oké 
B: 	dat zijn F 
B: 	oké dit zijn de neuspiercing 
B: 	soort van 
B: 	dus het lepel wat erin opsteken en dan dat ding 
A: 	het dinge erdoor 
B: 	ja 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn de het poppe met de neuspiercing 
B: 	ja 
B: 	A 
B: 	yes 
B: 	neuspiercing 
A: 	nummer vijf 
A: 	dit zijn de neuspiercing 
B: 	even kijken 
B: 	H 
B: 	de neuspiercing 
A: 	vijftien 
