B: 	deze hebben een soort van twee uitlaten vierkant uitlat aan de linkerkant 
B: 	dan voorop een soort vierkant 
B: 	en bovenop een stok met daarop een rond 
A: 	ja twee 
A: 	deze hebben twee uitsteeksel aan de linkerkant die kubus die zo steeds klein worden 
A: 	en voor de emmer zijn een vierkant 
B: 	ja n 
B: 	deze hebben soort van twee uitlat aan de linkerkant met blok die steeds klein worden 
B: 	en voorop een vierkant 
A: 	ja 
A: 	twaalf 
A: 	deze hebben een vierkant voor de emmer 
A: 	en links daarvan zijn twee keer die uitsteeksel met die kubus 
B: 	ja c 
B: 	deze hebben die twee uitlaten met de blok aan de linkerkant en voorop een vierkant 
A: 	dertien 
A: 	een vierkant ervoor en twee kubusstaf die eruit komen aan de linkerkant 
B: 	l 
