A: 	ja 
B: 	dit zijn weer een mok en daarbovenop liggen een balk 
B: 	er zitten een soort van hamer aan de voorkant klein staaf met daaronder weer zo'n blok 
A: 	ja 
B: 	en aan de linkerkant zitten een vleugel 
A: 	ja nummer acht 
A: 	dit zijn de veel compact figuur er zitten er liggen een balk bovenop 
A: 	komen zo'n raar dinge nog uit 
A: 	en voor hij zijn zeggen maar echt het veel het het klein het zitten allemaal het dicht bij elkaar 
B: 	zijn het een soort hamer ondersteboven die daar aan de voorkant uit komen 
A: 	ja 
A: 	ja 
B: 	hij hebben zo'n klein staaf en dan zo'n gek driehoek 
A: 	ja en aan de linkerkant zitten nog een 
B: 	en hij hebben twee van die dinget 
B: 	twee van die dinget zeggen maar aan die kant komen er één uit en aan die kant komen er één uit 
A: 	ja 
A: 	maar aan de links kant zijn wel een ander dinge dan aan de rechterkant 
A: 	aan de linkerkant komen er zo'n 
B: 	kegel zonder stomp zeggen een stompe stompe kegel 
A: 	ja 
A: 	ja 
B: 	oké ja dan 
A: 	en er liggen echt een balk bovenop 
B: 	ja dat zijn bij mij E 
A: 	oké 
B: 	dit zijn die veel compact met die omgekeerde hamer 
B: 	en bovenop zo'n veer zo'n balk 
A: 	ja 
A: 	dat zijn nummer één 
A: 	dit zijn dat veel compact figuur waar die balk bovenop liggen 
B: 	ja met het omgekeerde hamer 
A: 	ja 
B: 	ja dat zijn bij mij E 
B: 	dit zijn die veel compact met de omgekeerde hamer en het ding 
B: 	die zitten bij mij rechtsonder 
A: 	ja 
A: 	nummer zestien 
A: 	ik hebben het veel compact figuur met dat balk erbovenop en hij zitten bij mij helemaal links onderin 
B: 	ons Hamer 
B: 	ja de hamer hebben ik ook dat zijn O sorry 
B: 	dat zijn O ik zijn iets te snel 
