A: 	ik hebben links aan de bovenkant een bol erop zitten 
A: 	en aan de rechterkant komen een klein staaf uit aan de linkerkant een lang die naar je toe buigen 
B: 	ja ik weten hem 
B: 	g 
B: 	okee ik hebben een een balle dat bovenop liggen met niks niks erin en dan een een langwerpig rechthoekig staaf aan de voorkant 
A: 	ja 
A: 	vijf 
A: 	ik hebben die bol bovenop en die staaf die naar je toe wijzen 
B: 	ja 
A: 	aan de linkerkant 
B: 	d 
B: 	ik hebben bovenop een bal met niks erop en dan linkerkant zo'n dinge naar je toe wijzen weten je wel die hoek naar je toe wijzen 
A: 	ja 
A: 	zestien 
A: 	ik hebben de bol bovenop en dat ding waar naar je toe wijzen 
B: 	ja 
B: 	a 
B: 	de de bolle bovenop met niks eraan en dan dat dinge linkerkant dat naar je toe wijzen weten je die draaien 
A: 	ja 
A: 	drie 
