B: 	bak met een schermpje op zijn zij 
B: 	en met twee armp zo voor zich uit en een antenne op zijn kop 
A: 	ja 
A: 	dat zijn nummer een 
A: 	de bak met aan de voorkant een vierkant aan de linkerkant zijn die twee torent en bovenop zijn een een soort van spijker die zijn erop timmeren 
B: 	ja 
B: 	dat zijn J 
B: 	bak 
B: 	ja een flatscreen tv'tje hebben hij met zich mee , of een vierkant 
B: 	en die zo op hem plakken zijn 
B: 	en twee armp aan die kant , en een antenne op zijn hoofd 
A: 	ja 
A: 	zeven zijn dat 
A: 	bak met aan de voorkant de plaat , het vierkant aan de linkerkant , de twee uitsteeksel , oort 
A: 	en met de spijker bovenop 
B: 	zijn I 
B: 	een plaat op zijn zijkant , spijker op zijn kop , of een antenne , en aan de linkerkant twee toren 
A: 	ja zeven 
A: 	de bak met aan de voorkant de pilaar en aan de linkerkant de twee uitstulping met de spijker er bovenin 
B: 	met zo'n rond plateau 
B: 	J 
