B: 	deze hebben een een soort van 
B: 	ja plaat er weer doorheen lopen met tafelpo eraan daar vergelijk ik het een beetje mee 
A: 	ja waar dat bak ook op staat 
B: 	ja waar ook een bak op staan ja 
A: 	ja 
A: 	dat zijn zestien voor mij 
A: 	dit zijn degeen met het ja met het tafel eromheen met dat bak 
B: 	ja 
B: 	dat zijn voor mij de letter P 
B: 	dit zijn de met de plaat erdoor doorheen met de tafelpoot en het bak erop 
A: 	ja dat zijn veertien voor mij 
A: 	dit zijn die met de tafel met het bak erop 
B: 	dat zijn voor mij N 
B: 	dit zijn weer de tafel die het doorboort met het bak erop 
A: 	moeten hem even zoeken ja dat zijn tien voor mij 
B: 	oké 
A: 	dit zijn die met de tafel eromheen en dat bak erop 
B: 	d 
