A: 	ok deze dus je hebben gewoon weer dat beker standaard Bekervormpje en er liggen een bolletje bovenop 
A: 	met een rechthoek aan de voorkant recht naar beneden ? en twee van die haak als een soort armp aan de zijkant 
B: 	ja en dan zijn de linkerarm lang dan de rechterarm 
A: 	ja maar dat zijn volgens mij nu omdat ze dat rood rechthoek vierkant er omheen hebben zetten dat de helft van het plaat er half zijn afgekniptten 
B: 	o dat zullen kunnen 
A: 	maar ja nee in ieder geval die zijn nu in dit geval zijn hij kort dan zijn de een dus linkerkant zijn lang dan rechts ja 
B: 	ja 
B: 	ok dat zijn dan D 
A: 	ok 
B: 	ok dit zijn een kop met een bal aan de bovenkant en 
B: 	er hangen een verticaal balk aan vast o dat zijn weer met die arm en de een arm zijn niet afmaken 
A: 	ja ja dat zijn vijftien bij mij 
A: 	dit zijn die met die bal bovenop en die rechthoek aan de voorkant met die twee ongelijk arm 
B: 	ja dat zijn voor mij L 
B: 	dit zijn met die bal bovenop en de verticaal balk aan de voorkant en die twee arm 
A: 	ja ja dat zijn nummer zes 
A: 	dit zijn met die bal bovenop rechthoek voorkant en die twee ongelijk arm 
B: 	bal bovenop rechthoek 
B: 	ja dat zijn voor mij J 
B: 	dit zijn de bal bovenop en de verticaal balk er aan en die twee arm 
A: 	ja dat zijn nummer drie 
