A: 	ik hebben er één met een soort van het lijken alsof er twee paddenstoel aan de zijkant laten maar zeggen zitten 
B: 	de zoutvaat 
A: 	ja kloppen precies die 
B: 	zo zien ik hem 
B: 	en dan zo'n schuin ding een beetje achter 
A: 	ja 
B: 	dat zijn K 
B: 	ik hebben dat ding met de zoutvaat of paddenstoel aan de zijkant 
A: 	ja ik moeten even zoeken 
A: 	ja 
A: 	ja zijn bij mij nummer negen 
B: 	oké 
A: 	ik hebben diegene met die zoutvaat weer 
B: 	die dat zijn F 
B: 	de twee zoutvaat 
A: 	ja die staan bij mij ik kunnen ze niet vinden 
A: 	ja nummer drie 
A: 	ik hebben de twee zoutvaat 
B: 	even kijken 
B: 	dat zijn L 
B: 	ik hebben die twee met de twee zoutvaat 
A: 	nummer vijf 
