B: 	dit zijn een horizontaal plaat en er zitten een emmer zitten erbovenop en dan opsteken er een soort kralenketting opsteken er zo doorheen 
A: 	ja vijf 
B: 	ja 
B: 	mogen jij drukken ja 
A: 	dit zijn die met dat rond schijf aan de voorkant en die met die aan er doorheen drie klein driehoekjes 
B: 	ja die kraal 
A: 	ja kraalt 
B: 	ja okee f 
B: 	dit zijn de kralenketting door de beker heen en er 
A: 	ja zeven 
A: 	dit zijn de kralenketting 
B: 	ja 
B: 	h 
B: 	dit zijn de kralenketting 
A: 	acht 
A: 	dit zijn de kralenketting 
B: 	m 
