B: 	ik hebben ja het zijn een soort van tafel of zoiets wat een beetje zo half uitsteekt met van die poo 
A: 	even kijken hoor 
B: 	een soort van plank 
B: 	met poo die zo uitsteken en dan een soort van omdraaien 
A: 	ja helemaal bovenin en dan zo'n omdraaien 
B: 	ja 
A: 	ja precies 
B: 	yes 
A: 	nummer zestien 
A: 	oké 
A: 	deze hebben weer inderdaad dat plateau een beetje bovenop met dat omgekeerd driehoek daarbovenop 
B: 	ja 
B: 	yes dat zijn P 
A: 	met die poo 
B: 	ja 
B: 	oké ik hebben weer dat soort van tafel 
A: 	ja 
B: 	zo blijven ik het noemen 
B: 	met die poot en dan die omdraaien piramide 
A: 	ja 
A: 	ja even kijken waar staan die ? daar 
A: 	nummer veertien 
B: 	oké 
A: 	zullen eigenlijk ook de nummert en de cijfert want die zullen in theorie misschien ook wel hetzelfde moeten zijn of niet 
B: 	weten ik niet ik weten niet of dat wisselen elk ronde 
A: 	nee want ik hebben het idee dat die bij mij wel hetzelfde blijven zeggen maar 
B: 	echt 
A: 	de cijfert 
B: 	jeetje daar hebben ik niet op letten 
A: 	dus misschien dat die dat die wel correspondeur met jou letter zeggen maar dat als je het op de duur weten 
A: 	maar ja die dan moeten je er zestien uit je hoofd weten 
B: 	daar hebben ik echt niet op letten 
A: 	ik ook niet maar dat bedenken ik me nu net 
A: 	never mind 
B: 	oké ik kunnen het nu wel onthouden 
A: 	in ieder geval dit zijn weer het plateaut met de de poot en de omgedraaide piramide 
B: 	yes waar staan die ? N bij mij 
B: 	weer dat plank of dat tafel met die poo 
A: 	ja 
B: 	en die piramide 
A: 	ja 
A: 	nummer tien 
A: 	oké deze zijn weer met dat plateau met de omgekeerde piramide erop met de poo 
B: 	ja ja dat zijn D bij mij 
