B: 	oké 
A: 	deze hebben een balk aan de voorkant en een bol erbovenop 
B: 	even kijken 
A: 	en die balk steken uit aan de onderkant 
B: 	ja 
A: 	en aan de linkerkant zitten ook nog een uitsteeksel aan de rechterkant ook nog een klein maar die staan er niet helemaal op denken ik 
B: 	ja met een hoek erin dat uitsteeksel 
A: 	ja 
B: 	ja en die balk zijn eigenlijk gewoon los 
A: 	ja het lijken alsof die daarvoor staan zeggen maar 
B: 	ja oké 
A: 	ja 
B: 	dan zijn het D 
B: 	oké 
B: 	deze hebben een balk aan de voorkant 
B: 	deze hebben we al hebben de balk aan de voorkant en zo'n bol erbovenop en twee van die arm aan de zijkant 
A: 	bol bovenop 
A: 	ja 
A: 	ja oké dan zijn het vijftien 
A: 	dit zijn die met die balk aan de voorkant die een beetje los lijken te staan 
B: 	ja en een bal daarbovenop ja 
A: 	en die bol bovenop 
A: 	ja 
B: 	oké dat zijn L 
B: 	dit zijn degeen waar de balk voor staat met twee uitsteeksel en een bol bovenop 
A: 	ja 
A: 	oké dat zijn zes 
A: 	dit zijn die met die bol bovenop en die balk aan de voorkant die een beetje los lijken 
B: 	die een beetje losstaan ja 
B: 	dat zijn J 
B: 	ik hebben diegene waar de balk voor staat en die bol daarbovenop en die twee uitsteeksel 
A: 	ja 
A: 	dat zijn drie 
