A: 	nou ja dit zijn een soort van ja ja ik noemen het de neuspiercing 
B: 	dan weten ik al welk je hebben 
B: 	de rond neus met iets erdoorheen 
A: 	ja met iets erdoorheen en één haartje 
B: 	ja 
B: 	ja hebben ik hem al 
B: 	de afbeelding zijn F 
B: 	neuspiercing 
A: 	die gaan ik weer even opzoeken ja dat zijn Numero vijf 
A: 	dit zijn de piercing 
A: 	de neuspiercing 
B: 	ja 
B: 	dan gaan het om a 
B: 	de neuspiercing 
A: 	de neuspiercing dat zijn Numero vijf 
A: 	de neuspiercing 
B: 	H zijn dat ja nummer H 
B: 	dit zijn de neuspiercing 
A: 	dat zijn nummer vijftien 
