B: 	het voelen alsof het een soort heel stevig postuur zijn met een heel klein balk bovenop 
B: 	op de op het kop als het zijn 
B: 	en aan de rechterkant zitten een heel klein streep met een vierkantje eruit 
A: 	ja 
A: 	ik hebben hem 
B: 	aan de rechterkant zitten zo'n zitten nog een attachment 
A: 	en dan 
A: 	ja 
A: 	negen 
A: 	bovenin komen er een vierkant uit 
A: 	en dan zitten er link nog één ja rondjeachtig en rechts zitten ook een klein figuurt 
A: 	die zijn een beetje donker 
A: 	bovenin zijn een zegmaar een soort van 
B: 	heel klein balk vierkantje 
A: 	ja balk wat erop liggen 
B: 	ja 
B: 	ja balk en het het kunnen eigenlijk een soort van robot die stop zeggen 
A: 	ja 
B: 	ja oké 
A: 	ja 
B: 	d 
B: 	heel klein balk bovenop 
B: 	met het donker figuurt 
B: 	aan de linkerkant 
B: 	het zitten soort van vierkant die erin vallen alleen heel klein balk steken uit het kop 
B: 	aan de bovenkant 
B: 	aan de linkerkant uh , of aan de rechterkant van het figuurt zitten een heel klein dun figuurt met een vierkantje erop 
A: 	ja en dan zitten nog 
B: 	aan de rechterkant 
A: 	zitten nog een half dinge 
B: 	ja zo'n attachment 
A: 	ja 
B: 	ja 
A: 	drie 
A: 	bovenop liggen een dat vierkant dinge , en aan de zijkant zitten dan zo'n half dinge eraan links 
A: 	ja link 
A: 	en rechts zitten nog een heel dun dinge met nog iets eronder 
B: 	ja ik zijn hem aan het zoeken , waar zijn je 
B: 	waar zijn dan dan , ah daar 
A: 	ja 
B: 	en dat dat rechts dat attachment dinge 
A: 	ja 
A: 	ja 
B: 	ja ja 
B: 	kunnen 
B: 	E 
B: 	vierkant balk die erin gaan 
B: 	balk op op top 
B: 	dun armp aan de rechterkant 
A: 	ja ik hebben hem 
B: 	met een vierkant 
A: 	en die dat ander dinge aan de 
B: 	ja met dat dinge ja 
A: 	ja 
A: 	acht 
A: 	dat vierkant wat er boven uit komen met dat attachment dinge en dat ander 
B: 	ja 
B: 	I 
