B: 	dit vinden ik best een gek figuur 
B: 	hij hebben een soort vierkant er dwars doorheen bijna bovenin 
B: 	en aan dat vierkant hangen twee stok 
B: 	en op dat vierkant vaststaan nog een soort klein bak 
B: 	het vierkant gaan echt door het centraal figuur heen 
A: 	ja ja ja ja ja 
A: 	ja dat moeten wel nummer zestien zijn 
B: 	hebben je hem 
A: 	ik hebben die weer met dat veld er dwars doorheen bijna helemaal bovenin 
A: 	twee ding eronder twee ding Erboven 
B: 	ja met die stok eraan hangend 
A: 	ja ja 
B: 	P 
B: 	ik hebben met dat vierkant wat er bovenin doorheen gaan waar die twee dinget aan hangen 
A: 	ja dat zijn veertien 
A: 	ik hebben die hoog horizontaal 
A: 	met twee dinget eronder en twee dinget Erboven 
B: 	ja ja 
B: 	dat zijn bij mij N 
B: 	ze gaan weer husselen 
A: 	we zijn nu op twee drie 
A: 	als ik het goed hebben bijhouden 
B: 	god wat een kloteopdracht 
B: 	ik hebben een vierkant zeggen maar door het figuur heen met die twee dinget eraan 
A: 	vierkant door het figuur ja ja ja nou 
B: 	bij mij staan die ergens in het midden 
B: 	als dat helpen met je zoeken 
A: 	ja nummer tien 
A: 	ik hebben die hoog horizontaal twee eronder twee erbof 
B: 	ja 
B: 	dat zijn D 
