B: 	oké 
B: 	dit zijn een bak en hij staan op een vierkant en hij hebben twee van die Pippi Langkousstaartjes 
A: 	ja oké 
B: 	ja 
A: 	nummer vijf 
B: 	jij moeten het zeggen 
A: 	ja 
A: 	dit zijn zeggen maar dat bakkie wat dan op dat vierkant plaat staan met die met die paardenstaar zo 
B: 	ja 
B: 	letter J 
B: 	Pippi Langkous 
A: 	ja 
A: 	nummer elf 
A: 	de Pippi Langkous ding 
A: 	op het plaat 
B: 	letter P 
B: 	Pippi Langkous 
A: 	yes 
A: 	nummer negen 
A: 	de Pippi Langkous 
B: 	letter L 
A: 	op het plaat 
