B: 	hij staan bij mij eromheen 
A: 	ja 
A: 	oké 
B: 	one even kijken hoor hij hebben aan de linkerkant zo'n soort van klein rond staaf 
B: 	vast aan het midden van de zijkant van het kop zeggen maar 
B: 	en dan daarachter zitten zien je zeggen maar de helft van een cirkel die daaraan vastziken 
B: 	en dan daarbovenop nog zitten zo'n soort van rond staafachtig dinge 
A: 	ja 
B: 	en aan de onderkant hebben die nog soort van rond rechthoekig soort van standaard of zo 
A: 	ja 
B: 	en dat zijn eigenlijk alles wat die hebben 
A: 	ja nee dat snap ik wel 
B: 	oké 
A: 	dus dan 
B: 	dan moeten jij het nummer zeggen denken ik 
A: 	dertien 
A: 	ja volgens mij zijn we weer met de herhaling bezig want deze dat zijn dat kop met de ja half cirkel aan de achterkant 
A: 	en dan links die die zeshoekig buis en dan dat pluimbje boven en dan die langwerpig ovaal ding aan de onderkant 
B: 	ja 
B: 	dat zijn O 
B: 	dit zijn die met die verbergen cirkel erachter 
B: 	en dan links hebben die soort van staaf als neus 
B: 	en dan nog een pluimp bovenop 
B: 	en daaronder nog een soort van Standaard 
A: 	ja 
A: 	ja dat zijn acht 
A: 	ja dit zijn die met die half cirkel aan de achterkant 
A: 	en dat pluimp 
A: 	en aan de onderkant dat ovaal langgerekken 
B: 	ja en dat staafje links 
A: 	ja 
B: 	dat zijn C 
B: 	dit zijn die met soort van staafneusje aan de linkerkant en die half cirkel daarachter 
B: 	pluimp aan de bovenkant en one's ovale ding aan de onderkant 
B: 	zeggen maar standaard het standaard eronder 
A: 	die 
A: 	die met die half cirkel daarachter 
B: 	ja 
A: 	ik zijn even ik kunnen hem niet vinden 
A: 	dat zijn zeven 
A: 	dit zijn die ja die op die standaard die aan de onderkant dat ovale hebben met dat cirkel er half achter en de pluim 
B: 	ja 
B: 	dat zijn C 
B: 	oké 
B: 	klaar 
B: 	het doen pijn aan mijn oor 
A: 	ja 
B: 	mogen we dit afzetten 
