B: 	je kunnen het een beetje beschrijven als twee oog die die aan de linkerkant hebben als verrekijker en een vierkant erop plakken 
A: 	ja 
A: 	ja 
B: 	aan de voorkant 
A: 	en zo'n antenne erbovenop ja twee 
B: 	ja 
A: 	de verrekijker met de antenne bovenop 
A: 	en de 
B: 	met het vierkant voorop 
A: 	ja precies 
B: 	ja 
B: 	G 
B: 	dit zijn de verrekijker met vierkant voorop en het plubbeltje bovenop 
A: 	negen 
A: 	de verrekijker 
B: 	d 
B: 	dit zijn de verrekijker met het vierkantje voorop plakken 
A: 	verrekijker waar staan je ? dat zijn één 
A: 	verrekijker 
B: 	met het vierkantje 
A: 	ja 
B: 	waar staan die 
