B: 	oké deze hebben een soort van driehoekig uitsteeksel aan de linkerkant 
B: 	en zo'n ei aan de voorkant 
B: 	beetje schuin rechts 
A: 	ah ja 
B: 	en twee fliebelt aan de bovenkant 
A: 	ja 
A: 	ja en dan één die zijn wel verschillen aan de bovenkant 
B: 	ja ja 
A: 	ja oké dat zijn tien 
B: 	ja 
A: 	nou dit zijn met die ei aan de voorkant 
A: 	of de bal aan de voorkant en aan de linkerkant soort van driehoekig 
B: 	driehoek 
B: 	ja oké ja 
B: 	dat zijn M 
B: 	ja dit zijn die met die , met dat ei , en uh , aan beetje rechts , en dan aan de linkerkant zo'n driehoekig balk 
B: 	met twee fliebeltjes boven 
A: 	ja ik zoeken hem even eigenlijk 
A: 	ei rechterkant en dan zo'n driehoekig ding dat uitsteken aan de linkerkant toch 
B: 	ja ja precies 
A: 	ja 
A: 	ja oké dat zijn acht 
B: 	ja 
A: 	ja dit zijn met dat ei aan de zijkant en twee van die gek ding aan de bovenkant en dan nog één aan de linkerkant waar , zo'n driehoek aan de linkerkant 
B: 	ja oké ja dat zijn K 
B: 	ja dit zijn weer met dat ei aan de voorkant met de driehoekjesbalk en de twee dinge aan de bovenkant 
A: 	driehoek 
A: 	ja 
A: 	ei aan de voorkant zijn het toch 
B: 	ja 
A: 	ja oké twee van die ding boven ja 
B: 	ja 
A: 	dat zijn vijfteen 
A: 	ja dit zijn weer met die ei aan de zijkant en dat driehoekig balkachtig ding aan de linkerkant 
B: 	ja 
B: 	dat zijn D 
