B: 	met de twee krulle aan de zijkant 
B: 	twee spiraalt naar de zijkant toe 
A: 	en dan staan die op een 
B: 	op op een dienblad 
A: 	ja 
A: 	dan zijn het nummer vijf 
A: 	dit zijn wel die een op met dat tafel met die krulle langs de zijkant 
B: 	met die krulle ja dat zijn bij mij zijn dat J 
B: 	dit zijn op dat dienblad met die krulle naar de zijkant 
A: 	ja dat zijn nummer elf 
B: 	het plaat aan de voorkant 
A: 	die een op het vlak met die twee spiraalt 
B: 	ja dat zijn bij mij P 
B: 	de kronkeloort cilindertjes 
A: 	ja dat zijn nummer negen 
A: 	de plaat met de spiraalt 
B: 	de plaat met de spiraalt ja dat zijn L 
