A: 	oké deze zijn een beetje lastig uit te vastleggen aan de rechterkant zijn een soort van een soort van het lijken een beetje op een dienblad een plat cirkel laten maar zeggen 
A: 	die aan de rechterkant uitsteken 
B: 	ja zo'n plateautjeachtig iets 
A: 	en aan de linkerkant opsteken er ook iets uit met daar een soort van piek bovenop 
B: 	ja 
B: 	dat zijn L 
A: 	ja 
B: 	ik hebben die een met dat dat plateau hoe noemen jij dat ? aan de rechterkant 
B: 	en dan een uitsteeksel links met daar weer een uitsteeksel bovenop 
A: 	ja dat zijn nummer zeven bij mij 
A: 	ik hebben diegene met dat plateau weer aan de rechterkant en dan dat uitsteeksel met die piek erop 
B: 	ja 
B: 	dat zijn C 
B: 	ik hebben die een met het plateau en dan het ding met de toren erop of whatever 
A: 	ja nummer één 
A: 	ja wel 
A: 	ik hebben die met dat plateau aan de rechterkant 
A: 	en dat uitsteeksel met die piek aan de linkerkant 
B: 	ja 
B: 	ik zijn blind 
B: 	daar zijn die dat zijn A 
B: 	dit zijn met het plateaut rechts en dan dat ding links met de toren erop 
A: 	dat zijn bij mij nummer ik zijn hem even kwijt hoor 
A: 	nummer dertien 
