B: 	deze zijn ook wel 
B: 	ja 
B: 	het zijn zeggen maar ja er staan er zitten eigenlijk een balk bovenop 
A: 	wat zitten daarbovenop 
B: 	een balk 
A: 	een balk ja 
B: 	en dan 
B: 	aan de een kant ja een soort uitsteeksel dat zijn een soort ja ook een half cilinder denken ik en aan de ander kant ja ik zullen het ja ik hebben het omschrijven als een 
B: 	ja zo'n rad van een watermolen zeggen maar 
B: 	daar doen het me een beetje aan denken maar 
A: 	even 
A: 	even kijken hoor 
B: 	of het kunnen ook een armp zijn 
B: 	dat iemand net een tas vasthouden 
A: 	een rad als een 
A: 	zitten er twee punt boven 
B: 	nee het zijn één recht balk 
A: 	dus dat zijn dat zijn helemaal recht een recht balk 
A: 	en steekt die balk uit 
B: 	ja 
B: 	ja beetje ja 
B: 	ja je kunnen ook inderdaad zien net zoals dat ander zijn dit ook wel eigenlijk zo je kunnen het ook zien als een tas daar net een boek bovenuit opsteken 
A: 	even kijken 
A: 	one ja inderdaad dat zijn een kop en een klein balk een boek 
B: 	ja ja ja 
A: 	ja ik zien hem 
A: 	acht 
A: 	dit zijn die klein boekentas 
A: 	dus niet die groot met die handvat maar die klein 
B: 	ja 
B: 	E 
B: 	ja dit zijn dat die klein boekentas 
A: 	klein boekentas waar staan je ? de groot zien ik wel 
A: 	ja 
A: 	één 
A: 	klein boekentas 
B: 	klein boekentas 
B: 	E 
B: 	dit zijn de klein boekentas 
A: 	ja 
A: 	zestien 
A: 	de klein rugtas 
B: 	de klein rugtas 
A: 	pijnlijk been 
B: 	ja 
B: 	O 
