B: 	deze hebben een driehoekuitsteeksel aan de linkerkant en boven een blok en een soort pylonnetje 
B: 	en aan de voorkant nog een rond 
B: 	en ver zijn die best wel simpel 
B: 	aan de bovenkant hebben die aan de rechterkant een een balk zeggen maar en aan de linkerkant iets wat lijken op een pionne of zo een 
A: 	hebben die ook onder zo'n uitsteeksel 
B: 	nee hij hebben onder helemaal niks 
B: 	hij hebben twee zij steeksel aan de zijkant en twee aan de bovenkant 
A: 	oké 
A: 	ik hebben echt geen idee 
A: 	kunnen je waar zitten het driehoek 
B: 	er zitten nee die steken zeggen maar uit als een driehoekigvormig balk 
B: 	en die zitten aan de linkerkant 
B: 	een beetje zo in het midden 
B: 	en aan de rechterkant zitten er in het midden komen er een bol uit 
A: 	ja 
A: 	die bol ja en dan twee verschillend ding bovenop 
B: 	ja 
B: 	ja ja ja die 
A: 	oké ja dan zijn het veertien 
B: 	oké 
A: 	dit zijn die met die bol aan de voorkant en die twee verschillend ding erbovenop 
B: 	ja 
A: 	met die driehoekig uitsteeksel nog 
B: 	oké 
B: 	dat zijn N 
B: 	ik hebben diegene met twee verschillend uitsteeksel aan de bovenkant 
A: 	ja 
B: 	een driehoek eruit en een rond aan de voorkant 
A: 	ja dat zijn negen 
A: 	dit zijn die met die bol aan de voorkant en twee verschillend uitsteeksel boven en zo'n driehoek aan de zijkant 
B: 	ja 
B: 	oké dit zijn G 
B: 	ik hebben diegene met twee verschillend uitsteeksel en een bol en een driehoek aan de zijkant 
A: 	ja 
A: 	oké dat zijn vijf 
A: 	dit zijn die met die bol aan de voorkant en twee verschillend uitsteeksel bovenop en dat driehoek 
B: 	ja denken ik 
B: 	ja dat zijn J 
