A: 	oké ja ik hebben het als met die drie woord hebben ik het eigenlijk beschrijven als een neus neuspiercing je zien gewoon een bol erop en 
A: 	een vierkant staaf gaan erdoorheen met op het einde aan die staaf zitten een cirkel en dan hebben die nog zo'n pluk pluk haar of zo ja 
B: 	ja 
B: 	ja en nog één flap aan de achterkant 
B: 	ja ja 
B: 	oké dan F 
B: 	de neuspiercing 
B: 	met met het rond aan de ander kant 
A: 	oké 
A: 	ja even kijken ja vijf 
A: 	neuspiercing 
B: 	ja A 
B: 	moeten even wat links en rechts zijn de neuspiercing 
A: 	neuspiercing dat zijn vijf 
A: 	de neuspiercing 
B: 	ja searching H 
B: 	de neuspiercing 
A: 	nee 
A: 	de neuspiercing 
A: 	ah ja vijftien 
