A: 	deze hebben een een piramide als dak 
A: 	een een paardenstaar 
A: 	en een rond aan de en een heel groot neus 
B: 	en 
A: 	en een rond aan de onderkant 
B: 	ja J 
B: 	deze hebben die dat hoed op zijn hoofd die piramidehoed 
A: 	met dat die groot neus 
B: 	ja 
A: 	ja 
A: 	zes 
A: 	zijn die met dat piramide en die groot neus en dat armp en 
B: 	ah E 
B: 	deze zijn met dat piramidehoed 
B: 	en dat klein 
A: 	ja en die groot neus 
B: 	en die groot neus 
A: 	ja 
B: 	ja 
A: 	tien 
A: 	het met de groot neus en het driehoek en 
B: 	groot neus 
B: 	ja 
B: 	G 
B: 	met de drie met het driehoek op zijn hoofd met die dik neus 
A: 	ja 
A: 	tien 
