B: 	ok dit zijn met een groot aanhangsel onderaan zo noemen ik het telkens 
B: 	en dan hebben je bovenaan nog een blok en nog een blok en Linksboven zitten een ja wat zijn het voor vorm 
A: 	ja 
A: 	ja een beetje lijken alsof zo'n man die zo zijn arm omhoog hebben 
B: 	schuin 
B: 	ja 
A: 	ja met die draaien onderkant 
B: 	ja 
A: 	ja dat zijn nummer vier bij mij 
A: 	ja dit zijn met die draaien onderkant 
A: 	met dat uitsteeksel aan de onderkant en die dat blok rechtsboven blok in het midden en zo'n nog zo'n uitsteeksel 
B: 	ja 
B: 	dat zijn voor mij A 
A: 	ja 
B: 	dit zijn met die dat aanhangsel onderaan en met die twee blok bovenop 
A: 	ja ok dat zijn nummer tien 
A: 	dit zijn met die draaien onderkant en zo'n blok rechts blok in het midden en zo'n zwaaien armp 
B: 	ja dat zijn voor mij L 
B: 	dit zijn met die dat aanhangsel onderaan en die twee blok bovenop 
A: 	o jajaja ja met dat draaien onderkant ok dat zijn nummer vier 
B: 	ja 
A: 	dit zijn die met dat draaien onderkan en die twee blok bovenop 
B: 	ja dat zijn voor mij F 
