A: 	zitten een lang staaf aan de voorkant van het kop naar beneden 
A: 	en aan de erop zitten een ronde bol 
B: 	ja 
B: 	duidelijk 
A: 	en aan de zijkant twee armp 
B: 	L 
B: 	ja 
A: 	ja 
B: 	L 
B: 	een lang recht balk voorin 
B: 	met een balle wat eigenlijk in het kop lijken te kunnen vallen 
A: 	ja en aan de zijkant twee armp 
B: 	twee klein dun armpjes ja 
A: 	ja 
A: 	twee 
A: 	een dik lang staaf aan de voorkant 
A: 	een bol bovenop 
A: 	en twee armp aan de zijkant 
B: 	ja 
B: 	M 
B: 	groot balk naar beneden vooraf , bolle bovenop 
B: 	en twee klein dinge 
A: 	armp 
A: 	ja 
A: 	vier 
A: 	lang staaf aan de voorkant met de bol aan de bovenkant en twee van die dun armpjes aan de zijkant 
B: 	waar zijn je 
B: 	met de bol aan de bovenkant 
A: 	ja 
B: 	ja 
B: 	O 
B: 	balk aan de voorkant 
B: 	recht balk 
B: 	balle bovenin 
B: 	twee klein armpjes 
A: 	twee 
A: 	zestien 
