B: 	oké nu hebben ik hem 
B: 	het zijn een soort van ja ook dat komme en ik ik zien het zeggen maar veel als een slurf 
B: 	en dan een vierkant eromheen 
B: 	dus het zijn een komme 
A: 	ja 
B: 	en daar zitten dan een soort van slurf aan en daar zitten dan zo'n vierkant zitten dan helemaal eromheen 
A: 	ja 
A: 	ja en twee torent in de lucht 
B: 	ja 
A: 	ja 
A: 	inderdaad hij doorboort eigenlijk een beetje de grond 
B: 	ja 
A: 	zo hebben ik het dat zijn bij mij zes 
A: 	dus nou zes en geel 
A: 	dit zijn met die slurf en die twee tentakel omhoog 
A: 	en ja waar die eigenlijk de grond doorboort dus je hebben zo'n zo'n plat vlak en daar zitten die half boven half onder 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn die die slurf die zeggen maar de grond doorboort 
B: 	met die twee punt bovenop aan de zijkant een armp 
A: 	ja 
A: 	dat zijn nummer dertien 
A: 	dit zijn de slurf en de basisvorm die doorboort de grond twee tentakel in de lucht en nog één 
A: 	aan de zijkant 
B: 	even ja 
B: 	dat zijn J 
B: 	dit zijn met die slurf die de grond doorboort 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn met de slurf en die ook de grond doorboort 
B: 	dat zijn N 
