A: 	nou dit zijn wel wat ik noemen het feestbees het zijn dus zo'n heel grappig figuur met zo'n hoed een soort van 
B: 	ja 
B: 	nee volledig hoed 
A: 	ja en hij lijken op een soort van wielt te staan 
B: 	ja 
A: 	met zo'n staart 
B: 	met een heel gek dinge in zijn achterkant zeggen maar 
A: 	ja 
A: 	ja 
A: 	ja een soort van staart 
B: 	en een heel groot blok aan de voorkant 
A: 	ja een neus 
B: 	dan misgaan het om J 
B: 	dit gaan om de feesthoed met de volledig hoed een gek dinge in zijn kont en een rond op wiele 
A: 	ja 
A: 	dat zijn Numero zes 
A: 	ja het feest hoed 
B: 	met het gek ding in zijn kont met wielt en 
A: 	ja 
A: 	ja ja 
B: 	ja dan gaan het om E 
B: 	dit zijn het feesthoed met op de wielt en een gek dinge 
A: 	ja ja 
A: 	dat zijn Numero tien 
A: 	het feestmutsje met dat raar ding aan de aan de aan de kont 
B: 	ja met op wielt 
A: 	ja 
B: 	gaan om G 
B: 	dit zijn het feestmutsje op rollet 
A: 	het infeestmutsjen op rollet 
A: 	dat zijn Numero tien 
