A: 	oké 
A: 	oeh ja ook een soort Pinokkio Pinokko Pinokkio omdat het hebben zo'n pilaar zo opsteken zo naar rechts een beetje uit 
A: 	en hij hebben één of ander heel gek hoed 
A: 	die ja het zijn een soort vierkan die echt in hem zitten alsof het één ja 
B: 	met aan allebei de kant twee blokkentoren 
A: 	ja 
A: 	ja 
B: 	oké dan zijn het M 
B: 	ja dit zijn ja ik zien het als een karatepoppe 
B: 	met aan de voorkant wel nog een soort Pinokkioneus 
A: 	ja 
B: 	die naar rechts gaan 
A: 	ja 
B: 	en aan de onderkant en aan de rechterkant een soort van buigen dinget 
A: 	ja 
A: 	en hij hebben zo'n suf gek hoed op 
B: 	ja 
A: 	ja 
A: 	negen 
A: 	dit zijn die Karate Kid 
B: 	Karate Kid waar staan Karate Kid 
A: 	met het pinokkioneusje en de twee ding 
B: 	ja 
A: 	ja je weten het oké 
B: 	dat zijn H 
A: 	ja 
B: 	dit zijn Karate Kid poppet met het hoed ook wel 
A: 	elf met de cilinder ja 
B: 	ja 
A: 	elf 
A: 	de Karate Kid 
B: 	karate Kid staan dat zijn D 
B: 	karatepoppe 
A: 	staan die bij jou links 
A: 	ook 
B: 	ja hij staan bij mij helemaal links in het midden 
A: 	veertien 
