Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	2	er uit	5	6	1	A	0, 5
10	10	1	ja	5	26	3	A	0, 2, 4, 5, 7, 12, 15, 16, 24, 25
9	9	1	en	1	24	1	A	0, 1, 4, 5, 6, 9, 14, 15, 23
9	9	1	pacman	14	24	2	B	5, 9, 14, 18, 19, 20, 23, 26, 28
6	4	1	er	9	24	1	A	0, 5, 9, 15, 20, 23
6	6	1	met	14	19	2	B	5, 9, 14, 20, 21, 23
5	5	1	o	17	28	2	B	3, 15, 17, 25, 30
4	4	1	dan	5	29	2	A	0, 4, 5, 28
4	4	1	een	1	10	1	A	0, 1, 5, 9
4	4	1	ik	22	16	1	A	10, 22, 24, 25
4	4	1	ok	5	30	1	A	0, 5, 8, 29
4	4	1	vergrootglas	2	15	1	B	1, 2, 9, 15
3	3	1	of	3	19	1	A	2, 3, 20
2	2	1	armpiercing	21	2	1	B	20, 21
2	2	1	balk	5	6	1	A	0, 5
2	2	1	in	9	10	1	A	0, 9
2	2	1	jaja	7	5	1	B	3, 7
2	2	1	nee	22	2	1	A	21, 22
2	2	1	wel	24	22	1	B	3, 24

