ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
pair12_15_tsv	18.0	72.0	12.0	0.16666666666666666	0.2777777777777778	0.2647058823529412	1.7427376486136672	1.85	4.0
039040_8_tsv	36.0	244.0	34.0	0.13934426229508196	0.3729508196721312	0.25263157894736843	0.9814510385622951	1.3103448275862069	5.0
pair15_08_tsv	38.0	270.0	39.0	0.14444444444444443	0.43333333333333335	0.34831460674157305	1.29199252498566	1.488	6.0
pair12_01_tsv	16.0	59.0	9.0	0.15254237288135594	0.4067796610169492	0.25925925925925924	1.173030669557363	1.4074074074074074	3.0
097098_7_tsv	31.0	289.0	38.0	0.1314878892733564	0.38408304498269896	0.2636363636363636	1.0276745527032425	1.3671875	3.0
019020_2_tsv	20.0	145.0	21.0	0.14482758620689656	0.3931034482758621	0.33962264150943394	1.6041123324000337	1.7272727272727273	4.0
063064_5_tsv	22.0	161.0	27.0	0.16770186335403728	0.3416149068322981	0.2916666666666667	1.165860497565643	1.4285714285714286	5.0
055056_7_tsv	64.0	356.0	41.0	0.1151685393258427	0.3792134831460674	0.26666666666666666	1.0796447473846642	1.3508771929824561	3.0
077078_9_tsv	52.0	364.0	46.0	0.12637362637362637	0.4340659340659341	0.34545454545454546	0.7856219563117317	1.2102272727272727	3.0
131132_6_tsv	37.0	214.0	31.0	0.14485981308411214	0.4766355140186916	0.38235294117647056	0.9727992220547966	1.3113207547169812	3.0
067068_2_tsv	28.0	184.0	25.0	0.1358695652173913	0.3532608695652174	0.2876712328767123	1.0282071984898804	1.3289473684210527	4.0
005006_4_tsv	20.0	118.0	17.0	0.1440677966101695	0.3898305084745763	0.288135593220339	0.43408112000433474	1.0892857142857142	2.0
pair23_09_tsv	44.0	185.0	26.0	0.14054054054054055	0.3945945945945946	0.25	0.9784442320215601	1.308641975308642	3.0
pair24_14_tsv	29.0	215.0	34.0	0.15813953488372093	0.4744186046511628	0.34615384615384615	1.2816257946183478	1.4848484848484849	3.0
037038_1_tsv	23.0	153.0	20.0	0.13071895424836602	0.33986928104575165	0.22950819672131148	1.262740984733933	1.5	3.0
