Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	en daar iets boven zitten	9	2	1	B	8, 9
2	2	4	aan de aan de	35	19	1	B	17, 35
2	2	4	met die twee identiek	35	6	1	B	30, 35
5	5	3	aan de zijkant	20	22	1	B	16, 20, 21, 30, 37
2	2	3	aan de bovenkant	30	29	1	A	2, 30
2	2	3	de zijkant zitten	20	18	1	B	3, 20
2	2	3	dit zijn met	37	3	1	A	35, 37
2	2	3	en aan de	16	15	1	A	2, 16
2	2	3	zo'n soort van	24	18	1	A	7, 24
8	1	2	aan de	21	36	1	A	2, 16, 17, 20, 21, 30, 35, 37
4	2	2	twee identiek	20	19	1	B	17, 20, 30, 35
3	1	2	daar iets	21	14	1	B	8, 9, 21
3	1	2	de bovenkant	13	29	1	A	2, 13, 30
3	1	2	met die	37	8	1	B	30, 35, 37
3	3	2	nog zo'n	24	16	2	A	9, 22, 24
3	1	2	soort van	13	18	1	A	7, 13, 24
3	1	2	zijn met	35	8	1	B	30, 35, 37
2	2	2	dat bak	35	6	1	B	30, 35
2	2	2	deze hebben	13	13	1	A	1, 13
2	2	2	deze zijn	30	11	1	A	20, 30
2	2	2	en dan	6	2	1	B	5, 6
2	2	2	zo'n kromming	25	3	1	B	23, 25
22	22	1	ja	5	37	1	A	4, 5, 8, 9, 10, 11, 12, 14, 18, 22, 24, 25, 26, 27, 28, 31, 32, 34, 36, 37, 39, 40
11	6	1	en	3	37	1	A	2, 3, 5, 6, 8, 9, 16, 20, 24, 35, 38
9	6	1	die	3	37	1	A	1, 3, 4, 7, 16, 20, 30, 35, 37
8	6	1	hebben	3	38	1	A	1, 3, 5, 13, 20, 21, 24, 38
8	4	1	zijn	18	26	1	B	12, 18, 20, 29, 30, 35, 36, 37
7	3	1	twee	3	35	1	A	1, 3, 16, 17, 20, 30, 35
7	3	1	zitten	7	20	1	B	3, 7, 8, 9, 20, 21, 22
7	2	1	zo'n	23	19	4	A	7, 9, 20, 22, 23, 24, 25
6	6	1	je	31	36	4	B	3, 5, 21, 24, 31, 38
5	5	1	blok	20	35	3	B	3, 16, 17, 20, 37
5	3	1	dat	35	9	2	B	29, 30, 35, 36, 37
5	5	1	een	8	14	2	A	2, 7, 8, 13, 15
5	1	1	identiek	37	21	1	B	17, 20, 30, 35, 37
5	2	1	iets	9	20	2	B	5, 8, 9, 21, 24
5	2	1	nog	7	20	1	B	5, 7, 9, 22, 24
5	2	1	van	7	22	1	B	3, 7, 13, 16, 24
4	1	1	daar	24	17	1	B	8, 9, 21, 24
4	2	1	dan	12	14	1	B	5, 6, 12, 18
3	1	1	bak	35	23	2	B	13, 30, 35
3	3	1	bovenop	38	19	2	A	20, 35, 38
3	3	1	linksonder	7	18	1	B	5, 7, 22
2	2	1	daarboven	27	2	1	A	26, 27
2	2	1	het	18	7	1	B	12, 18
2	2	1	wachten	31	29	1	B	3, 31

