Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	aan de rechterkant zitten	4	B	2, 5
2	4	heel klein balk bovenop	22	B	0, 21
2	4	zitten een heel klein	25	B	2, 26
5	3	aan de rechterkant	47	B	2, 5, 26, 28, 48
4	3	heel klein balk	25	B	0, 13, 21, 24
3	3	een heel klein	27	B	0, 2, 26
2	3	aan de linkerkant	4	B	23, 26
2	3	met een vierkantje	25	B	2, 26
7	2	aan de	47	B	2, 5, 23, 25, 26, 28, 48
4	2	met een	51	B	0, 2, 26, 50
2	2	die erin	23	B	24, 46
2	2	een soort	17	B	0, 16
2	2	het kop	24	B	1, 24
2	2	soort van	9	B	16, 24
2	2	waar zijn	2	B	37, 38
9	1	ja	42	B	15, 16, 18, 30, 32, 37, 43, 52, 56
8	1	aan	47	B	2, 5, 23, 25, 26, 28, 37, 48
8	1	de	48	B	1, 2, 5, 23, 25, 26, 28, 48
7	1	balk	48	B	0, 13, 16, 21, 24, 46, 47
7	1	het	38	B	0, 1, 16, 22, 24, 26, 37
6	1	een	51	B	0, 2, 5, 16, 26, 50
6	1	heel	27	B	0, 2, 13, 21, 24, 26
6	1	met	53	B	0, 2, 22, 26, 50, 52
4	1	zijn	39	B	0, 1, 37, 38
4	1	zitten	25	B	2, 5, 24, 26
3	1	attachment	36	B	5, 30, 40
3	1	die	31	B	16, 24, 46
3	1	en	39	B	2, 16, 40
3	1	van	11	B	16, 24, 26
3	1	vierkant	27	B	24, 46, 50
3	1	vierkantje	25	B	2, 13, 26
2	1	dat	13	B	40, 52
2	1	dinge	13	B	40, 52
2	1	dun	23	B	26, 48
2	1	figuurt	5	B	22, 26
2	1	kunnen	29	B	16, 44
2	1	op	47	B	1, 47
2	1	zo'n	26	B	5, 30

