Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	vierkant waar ook weer	8	A	10, 17
2	4	waar ook weer iets	5	A	6, 10
2	3	een een een	7	A	0, 6
3	2	dit zijn	21	A	0, 10, 20
2	2	aan de	21	A	1, 21
2	2	de zijkant	10	A	1, 10
2	2	doorheen zitten	11	A	10, 20
2	2	een soort	2	A	0, 1
2	2	een vierkant	5	A	6, 10
2	2	ja ja	4	A	12, 15
2	2	vierkant achter	15	A	6, 20
7	1	ja	27	A	0, 6, 8, 12, 15, 17, 26
5	1	een	23	A	0, 1, 6, 10, 22
5	1	zitten	21	A	0, 6, 10, 17, 20
4	1	en	16	A	6, 10, 20, 21
4	1	waar	15	A	6, 10, 17, 20
4	1	weer	15	A	6, 10, 17, 20
4	1	zijn	21	A	0, 9, 10, 20
3	1	achter	15	A	6, 10, 20
3	1	dan	12	A	6, 10, 17
3	1	dat	9	A	9, 12, 17
3	1	haak	22	A	0, 1, 21
3	1	van	22	A	0, 10, 21
2	1	er	7	A	0, 6
2	1	het	2	A	20, 21
2	1	met	4	A	17, 20
2	1	onder	11	A	0, 10
2	1	wat	4	A	17, 20
2	1	zo'n	10	A	1, 10

